Designator,Mid X,Mid Y,Rotation,Layer
C1,92.964,-56.134,90.0,top
C2,95.885,-56.134,90.0,top
C3,98.806,-56.134,90.0,top
D1,99.917,-49.53,90.0,top
D2,114.047,-49.53,90.0,top
D3,131.827,-49.53,90.0,top
D4,144.907,-49.53,90.0,top
D5,111.379,-44.069,0.0,top
D6,114.935,-44.069,0.0,top
D7,146.304,-57.023,180.0,top
D8,136.525,-57.023,0.0,top
J1,87.377,-58.51,180.0,top
J2,148.9616,-61.341,90.0,top
J3,103.252,-40.095,90.0,top
J4,95.632,-40.095,90.0,top
R1,103.124,-43.688,90.0,top
R10,89.854,-43.651,0.0,top
R11,110.744,-56.896,0.0,top
R12,99.823,-43.688,90.0,top
R13,89.854,-40.603,0.0,top
R2,93.345,-43.688,90.0,top
R3,106.299,-43.688,90.0,top
R4,108.141,-40.894,0.0,top
R5,114.681,-61.087,270.0,top
R6,96.647,-43.688,90.0,top
R7,111.697,-40.894,180.0,top
R8,103.759,-54.61,0.0,top
R9,114.11,-56.896,0.0,top
SW1,94.4368,-60.466,0.0,top
SW2,155.957,-49.62,90.0,top
U1,122.947,-51.318,0.0,top
U2,138.43,-49.149,0.0,top
U3,107.027,-49.81,270.0,top
U4,111.507,-61.087,180.0,top
U5,104.522,-59.145,180.0,top
USB1,83.927,-49.62,270.0,top
